num,inc_time,arint,inc_type,location,dact
1,0.0,0.0,1,552,399.5567616058212
4,766.4409505108886,766.4409505108886,1,425,2363.6046946194165
5,801.5960703505993,35.15511983971078,1,689,275.8093074911413
6,1869.2456215258321,1067.6495511752328,1,560,2739.6969592766463
9,2634.0917427271233,358.3315256498313,1,491,1308.6555011273344
10,3363.955977813598,729.8642350864748,1,526,1403.6275740731785
11,3900.589149354962,536.6331715413639,1,690,1198.2773908231047
12,4399.403647209609,498.81449785464656,1,651,1351.075103753536
14,6503.112247386294,1196.2563647797033,1,692,178.80229975169414
15,7279.055009470383,775.9427620840888,1,648,176.50155504036206
16,7955.205418576221,676.1504091058378,1,418,1951.425895288767
20,10069.599360102564,122.46695844673923,1,227,658.8829481558307
21,11710.44496949983,1640.8456093972654,1,83,1233.5138390233237
22,12025.326303743566,314.881334243737,1,210,8.496615565841893
23,13595.327129053894,1570.0008253103279,1,224,1686.0431643640727
24,14039.480450193249,444.1533211393544,1,473,976.6478193335549
26,17391.492549400045,3016.3166782340013,1,220,343.2091272565277
29,21582.886285061395,2092.8641921794515,1,422,11.300806469333505
30,23067.94253057393,1485.0562455125364,1,429,920.907819174795
32,27151.447909349597,1516.0985418191049,1,194,439.63036488310877
34,27361.038903008244,30.315034596515034,1,446,182.07323698917074
35,29138.0823810719,1777.043478063657,1,602,984.3607726306058
36,29308.578852018123,170.49647094622196,1,404,688.4540836500826
38,30719.795078657036,1310.50951077653,1,483,103.45092816774459
39,30976.147271062415,256.35219240537845,1,687,813.2027112447222
41,31319.59618923256,99.06833374729831,1,108,1442.145436027397
42,33613.04453910763,2293.448349875067,1,163,987.8923598808367
43,34260.024746594594,646.9802074869658,1,489,192.82367665492035
44,34545.65655161873,285.6318050241389,1,414,556.4439067040682
45,35174.0886500288,628.4320984100705,1,609,164.864244648699
46,36261.27178990565,1087.1831398768481,1,221,5.7975004236096925
49,37854.012531665314,969.5382110550781,1,686,2585.5506331555825
50,38423.02662454779,569.0140928824767,1,470,607.9211512849511
51,41005.86158714583,2582.834962598041,1,604,2181.3960139872033
54,42672.1772909249,548.7867534110483,1,201,29.578499486241615
55,44449.17294291346,1776.99565198856,1,620,1395.9403153735718
56,45684.59028283527,1235.4173399218125,1,424,1170.2238710221886
60,49669.825328614796,2076.0253154702586,1,149,301.71175421070876
61,50830.825654481465,1161.0003258666693,1,565,708.6776386176299
62,51067.832217854375,237.00656337291002,1,619,1530.2654227228759
63,52682.48475419494,1614.6525363405672,1,619,352.63812881105844
67,57151.99741861319,116.15238401211536,1,220,1539.9664568297712
68,58079.667459619624,927.6700410064368,1,427,553.9098514869709
70,61027.86503439912,352.6191807721334,1,554,1207.735390159673
71,61587.230707001334,559.3656726022164,1,589,697.382008753062
72,62707.86745175015,1120.6367447488155,1,624,1361.0618326896822
74,63454.408821223595,189.08173747137334,1,547,5670.349547329662
75,64222.63622063859,768.2273994149946,1,240,744.5515635662516
76,66228.24325989815,2005.6070392595648,1,455,318.42690773395395
77,67254.75319685372,1026.5099369555683,1,67,912.5583590226639
80,71368.09169900752,665.3915800787072,1,450,3644.2944412007123
82,72419.62948722487,909.7893498872581,1,193,3222.1439974588934
83,72534.27108437744,114.6415971525712,1,617,2014.8920828436321
84,73144.87160909921,610.600524721769,1,474,1513.487598682486
87,75691.42120417142,2058.494713768465,1,532,962.1312294372553
90,76389.13593553056,247.22216596796352,1,618,5718.684898657368
91,76426.04552836345,36.90959283288976,1,511,918.1578201010047
93,76806.02656646183,147.36700291022134,1,690,349.2224007720268
95,76899.04575952742,50.54239788882842,1,521,350.11668401597547
101,83713.23916848247,1255.193839819578,1,446,627.1115340802074
105,88432.25175456864,1085.9248083403072,1,615,459.82977081100466
106,90587.9128115534,2155.6610569847544,1,455,132.5784055028803
108,92593.97337842843,1361.5689607634267,1,220,3368.2952264548867
109,95748.44254168693,3154.469163258502,1,507,1584.0652988198547
111,96152.32994179473,104.24482171914133,1,623,3229.555608057932
113,96907.7419119043,317.729227299802,1,478,633.2793071946104
114,98525.23182398984,1617.4899120855407,1,29,782.5049868704665
115,99486.0088802008,960.7770562109508,1,444,988.6625690499167
116,99587.86508368973,101.8562034889328,1,473,2731.068335775204
119,108484.01713266886,2208.3676192855783,1,686,9441.53244206095
120,109752.43035708151,1268.4132244126522,1,658,803.1314424588408
121,111279.95315266079,1527.5227955792798,1,471,1155.740160978087
123,112131.49466578595,497.52959713109885,1,4,3939.209186139141
124,112891.00574918574,759.5110833997896,1,408,1506.13526044084
125,114126.41169719503,1235.4059480092837,1,651,2699.6025792986648
127,118631.28156313875,4155.532083940037,1,220,1598.9592966610164
129,122001.6535467922,2912.5088604699995,1,570,299.315272065289
130,123205.62603478367,1203.972487991472,1,510,1515.9752877024036
131,123238.71460383997,33.08856905630091,1,450,1040.7801430196332
134,127270.47923614664,2085.362244487391,1,692,427.7694666593743
135,128063.10617022649,792.6269340798463,1,647,748.8240304199741
137,130270.00413614431,1625.0950888705993,1,524,1291.0921102246084
138,130335.3666787035,65.36254255918902,1,570,77.5246254616111
141,133076.09774128202,422.7326610822929,1,310,1286.8297250994187
142,134314.11449248233,1238.01675120031,1,60,1783.631432010824
143,135233.95263904985,919.8381465675193,1,1,825.7336368068444
144,135951.26479243336,717.3121533835074,1,686,66.53614103506908
145,136529.58343134518,578.31863891182,1,604,2255.4368242926853
146,137601.14788920106,1071.5644578558858,1,472,2585.5214633199894
147,142430.60455998435,4829.4566707832855,1,476,67.48425741352227
148,142590.74442487795,160.13986489360104,1,595,650.7817638985512
149,143093.67881390126,502.934389023314,1,620,2440.812428437339
150,143150.81989984395,57.141085942683276,1,658,365.654343845618
151,144945.413876438,1794.593976594042,1,455,592.0195287191464
152,146379.4423990283,1434.0285225903208,1,620,1607.7940517159418
153,146702.78898269948,323.34658367116936,1,74,4212.713196557763
154,147424.33392930313,721.5449466036516,1,448,2199.793642760603
155,148805.98203273988,1381.6481034367462,1,235,2505.9995820878203
156,150255.6102398537,1449.6282071138266,1,604,313.64788913861884
157,150505.7470402076,250.13680035391008,1,604,2540.9142879754604
159,153361.8773822125,1646.917905231152,1,576,371.22137137351956
161,155376.19140862706,1027.5431549859932,1,479,251.8493648142674
162,155568.66418506394,192.47277643688722,1,693,1028.9913513029994
163,158288.01078679634,2719.3466017323954,1,473,4238.783947638358
164,160136.7797241066,1848.7689373102621,1,73,219.31168654789758
165,162281.28001244622,2144.500288339623,1,673,326.30990110403775
168,163330.28643080455,425.221133573883,1,453,185.3568193207127
169,163664.24387380425,333.957442999701,1,475,2250.233954119866
171,167018.91864053335,2712.171548181126,1,144,1703.6461164426942
173,168218.9774972534,730.7021816167107,1,114,3925.9902970620874
174,168787.77613785508,568.7986406016862,1,297,1527.3099663229673
175,169197.5999938355,409.82385598041583,1,619,354.85474927847304
178,172479.7123277922,690.9537266028346,1,540,558.3621211606207
179,173208.11734717057,728.4050193783769,1,144,484.73243258153263
180,174247.91297981294,1039.7956326423737,1,462,33.99465540941424
181,175502.7444311362,1254.8314513232617,1,452,154.349963370478
183,177844.97471245393,362.22523498599185,1,604,4788.253147257373
184,179973.38254498353,2128.4078325295995,1,450,1190.1885311819015
185,180396.99101205234,423.6084670688142,1,610,1853.2582257892298
186,182346.03071732362,1949.0397052712797,1,435,833.0919376734937
188,183809.78103970515,99.256033292535,1,7,496.2004406237212
189,185539.22672471064,1729.4456850054848,1,196,337.7255981874957
190,188158.60598201025,2619.379257299617,1,604,307.0114155343314
191,188773.18871841166,614.5827364014112,1,80,1388.394067511748
192,189223.19249181924,450.00377340757404,1,624,1423.438979621489
193,189478.48955527012,255.29706345088198,1,621,2150.660989011899
194,190176.23528117113,697.7457259010116,1,627,929.7270280602525
195,190198.68024448224,22.44496331110713,1,577,1675.2243130434592
197,192360.8945630287,618.0841529493337,1,45,1887.5676975768215
198,193122.93884687446,762.044283845753,1,614,185.1138700497497
199,193574.709442365,451.7705954905541,1,481,4224.0528001663015
200,193792.86178265768,218.15234029266867,1,361,1050.6669694639054
201,194519.90234505053,727.0405623928527,1,361,59.10770691395595
202,195047.04597348315,527.1436284326192,1,177,689.767547078141
203,195779.71438502104,732.6684115378885,1,352,544.1746997739422
204,197168.60096657113,1388.8865815500903,1,473,290.9781453997506
205,198905.7172714965,1737.116304925381,1,203,2974.9679059640625
206,203615.56181573527,4709.84454423876,1,472,875.3011182884381
211,214894.20752984117,1143.2047271690099,1,195,1570.7714648357944
212,215020.73162719508,126.52409735391848,1,602,888.9343628351422
213,215687.71381224436,666.9821850492735,1,254,244.59132200774096
215,218291.03036807908,1877.5200220050174,1,583,3015.51563225062
216,218735.73852775988,444.7081596807984,1,463,2706.603125209223
217,223890.7525739848,5155.014046224911,1,217,654.5857431201341
218,224218.82208722958,328.06951324478723,1,374,3506.1939170175606
219,226030.69227011356,1811.870182883984,1,334,1290.7684620182547
220,227447.2823462025,1416.5900760889344,1,143,1672.8402834896422
223,229593.7765440864,95.26626302246586,1,240,1509.3356087547995
225,229636.26286193827,32.964912740077125,1,654,442.26062129828944
226,229985.31047750657,349.0476155682991,1,553,398.9207544887025
229,231617.40688665578,671.2441847891605,1,515,955.5723165228603
230,231740.0441044497,122.63721779393381,1,499,211.42997443721316
231,231781.62160749105,41.57750304133515,1,19,4688.269543437321
232,232372.9154873855,591.2938798944524,1,589,3091.8958142019546
233,233565.44112685238,1192.5256394668831,1,415,312.3305645052579
234,233637.2225296308,71.7814027784043,1,441,1450.3202167425684
235,233728.1191278012,90.89659817042411,1,478,5554.771052197442
236,233787.6415613654,59.5224335641833,1,565,2269.2937850247768
237,234460.51311048065,672.8715491152543,1,528,130.97555600712684
238,235937.8864102412,1477.3732997605402,1,686,45.624590128134685
239,236233.22589084334,295.33948060215334,1,251,156.8489588213164
240,239029.797297271,2796.5714064276544,1,458,3749.079290282998
241,239787.70935962943,757.9120623584313,1,520,1660.630210347941
242,241081.37720644675,1293.6678468173195,1,620,391.79755464483526
243,241540.54095964637,459.1637531996239,1,202,3127.6797928557753
245,242818.86162368223,116.58431312363246,1,693,441.2860914854015
247,246929.82219194403,2983.5466262479895,1,250,5454.875311613615
248,247725.09294662124,795.2707546772144,1,604,207.76708538008154
249,248035.57467251402,310.48172589277965,1,616,779.5666646001765
250,248777.0322990747,741.4576265606738,1,591,519.0042558279243
251,249563.98741492754,786.9551158528484,1,465,118.16941025653188
253,250512.18114389537,220.27705785806756,1,525,1824.145910339472
254,251510.54279912703,998.3616552316525,1,631,1626.4473592338127
255,251568.566161253,58.02336212596856,1,452,909.2409773194385
256,251808.96471296827,240.39855171527597,1,630,1156.6149678829959
257,252609.6104612712,800.6457483029226,1,473,1191.7195199812184
258,254256.94322099723,1647.3327597260359,1,481,942.7077569595814
261,256268.7260903152,763.0974432335352,1,535,950.6753428477566
262,258277.59431040764,2008.8682200924377,1,450,1388.976215034766
263,259212.7003953081,935.1060849004425,1,185,140.473522071347
264,263415.94224390644,4203.241848598351,1,12,1308.9029223753125
267,264294.48446708726,412.7777599928668,1,251,2074.6849269527706
268,265725.1822589471,1430.6977918598568,1,620,464.65882797038546
270,268731.10467437416,2748.7902384357294,1,686,1343.5795770187995
272,272980.92424094136,4184.311845613935,1,201,8925.38872865779
273,274146.9041736832,1165.979932741844,1,516,1154.0528762708655
275,278260.7625472082,1493.1420722359908,1,248,1764.1384717576718
276,279541.7532681436,1280.9907209353987,1,225,139.59417581053117
277,282282.07152390084,2740.3182557572145,1,619,2411.46522257167
278,282300.554489609,18.482965708186384,1,692,248.88212840595187
279,282356.159493533,55.605003923992626,1,693,1236.7196835686723
282,288501.5997491727,911.9538937141187,1,208,997.6186883880281
283,288773.6731034048,272.073354232125,1,491,372.4017150060642
284,291512.6537289699,2738.9806255651056,1,203,890.9292240379184
285,292353.6820137582,841.0282847883063,1,570,2046.4177775836301
287,292919.847750427,293.11409503250616,1,217,322.02083806708504
288,294161.2095479703,1241.3617975433008,1,686,1697.2669871443006
